Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
8,473893.0,484928.0,353720.0,480448.0,461775.0,188900.0,447680.0,490096.0,474109.0,475272.0,325608.0,478187.0,2008
9,490839.0,337779.0,230258.0,467754.0,498560.0,242756.0,493932.0,347190.0,470328.0,449645.0,218852.0,482838.0,2008
10,465305.0,223146.0,478680.0,477489.0,326643.0,479448.0,466815.0,260251.0,469212.0,467580.0,457673.0,496893.0,2008
11,502950.0,469214.0,416049.0,461560.0,196141.0,488404.0,470705.0,463596.0,455801.0,374031.0,469996.0,484324.0,2008
12,328346.0,463151.0,488468.0,350113.0,410343.0,290583.0,349784.0,474226.0,486074.0,232573.0,442021.0,501537.0,2008
13,221956.0,466930.0,454643.0,209930.0,436925.0,479074.0,223162.0,486746.0,360676.0,464140.0,451097.0,394346.0,2008
14,477105.0,470343.0,463960.0,457650.0,488472.0,341452.0,456680.0,468838.0,244047.0,449632.0,443146.0,272766.0,2008
15,480501.0,493331.0,378831.0,500542.0,490560.0,237614.0,454678.0,502064.0,487889.0,527530.0,397628.0,492482.0,2008
16,498088.0,372593.0,216635.0,498004.0,488729.0,474203.0,463818.0,365588.0,481326.0,471154.0,254265.0,507041.0,2008
17,463965.0,230508.0,463239.0,475781.0,304577.0,478571.0,466010.0,235736.0,485482.0,492781.0,500363.0,505913.0,2008
18,471918.0,469294.0,467891.0,476250.0,256083.0,456475.0,477073.0,261495.0,465718.0,360960.0,489229.0,490592.0,2008
19,366345.0,465468.0,456642.0,365044.0,470816.0,457908.0,366056.0,465486.0,491821.0,240660.0,494089.0,498945.0,2008
20,225488.0,484032.0,0.0,222873.0,491917.0,481598.0,239898.0,456012.0,360758.0,461926.0,485350.0,372848.0,2008
21,475249.0,464403.0,0.0,485472.0,475659.0,331864.0,483210.0,458098.0,237663.0,482076.0,493579.0,268869.0,2008
22,475118.0,472777.0,0.0,484136.0,478225.0,21631.0,480551.0,507374.0,466860.0,479695.0,363941.0,485331.0,2008
23,477850.0,357637.0,0.0,474215.0,485976.0,424526.0,469530.0,365699.0,463412.0,454226.0,261912.0,470116.0,2008
24,474477.0,222306.0,444796.0,465829.0,336654.0,478015.0,485340.0,217611.0,469101.0,464547.0,481287.0,371302.0,2008
25,497828.0,286608.0,453459.0,494146.0,217882.0,510343.0,476630.0,251140.0,467917.0,363972.0,486883.0,202850.0,2008
26,353162.0,473666.0,455351.0,338030.0,481730.0,463045.0,366168.0,495141.0,478491.0,235920.0,500264.0,272419.0,2008
27,217603.0,486850.0,482864.0,208968.0,461989.0,483849.0,219895.0,478094.0,361201.0,477940.0,514904.0,273411.0,2008
28,478450.0,466556.0,464071.0,476885.0,472523.0,353436.0,450466.0,470644.0,208717.0,459361.0,506628.0,212256.0,2008
29,468649.0,509636.0,325212.0,478539.0,481910.0,210984.0,459941.0,490460.0,469942.0,480425.0,391462.0,263254.0,2008
30,478915.0,0.0,208934.0,499976.0,494302.0,484251.0,489915.0,364555.0,495928.0,452475.0,257829.0,245532.0,2008
31,473944.0,0.0,467660.0,0.0,340482.0,0.0,472196.0,227106.0,0.0,465587.0,0.0,177916.0,2008
